form_type,filer_status,filings,mean_lag_days,median_lag_days,p90_lag_days,min_lag_days,max_lag_days
10-K,1-LAF,6302,53,54,60,18,808
10-K,2-ACC,2275,68,67,76,23,396
10-K,4-NON,8927,94,87,107,15,1095
10-K,,1,88,88,88,88,88
10-K,,17505,76,67,103,15,1095
10-K/A,1-LAF,98,217,222,360.3,47,439
10-K/A,2-ACC,52,240,214.5,450.5,52,643
10-K/A,4-NON,722,241,205,440.90000000000003,41,1083
10-K/A,,872,238,206.5,431.8,41,1083
10-Q,1-LAF,18680,34,34,39,9,517
10-Q,2-ACC,6675,38,38,41,16,410
10-Q,4-NON,27048,50,44,52,8,1080
10-Q,,52403,43,39,46,8,1080
10-Q/A,1-LAF,97,180,166,322.8,26,598
10-Q/A,2-ACC,76,246,222.5,451.0000000000001,32,866
10-Q/A,4-NON,804,214,157,453.70000000000005,17,993
10-Q/A,,977,213,165,432.40000000000003,17,993
,,71757,56,43,88,8,1095
