size_basis,size_band,size_band_label,band_sort,min_total_assets,median_total_assets,companies,restating_companies,pct_companies_restating,revisable_groups,restatements,pct_of_revisable_restated,median_abs_pct_revision,revisable_groups_consolidated,restatements_consolidated,pct_restated_consolidated,revisable_groups_segment,restatements_segment,pct_restated_segment,pct_segment_level,revisable_groups_financial,restatements_financial,pct_restated_financial,revisable_groups_non_financial,restatements_non_financial,pct_restated_non_financial,pct_financial
assets_decile,01,decile 1 (smallest),1,1.0000,189571,731,642,87.82,357060,22370,6.265,0.8360,214568,15075,7.026,142492,7295,5.120,39.9,55358,2531,4.572,301702,19839,6.576,15.5
assets_decile,02,decile 2,2,2105023.0000,6973000,755,684,90.60,514780,41537,8.069,0.9333,308675,25941,8.404,206105,15596,7.567,40.0,51185,3148,6.150,463595,38389,8.281,9.9
assets_decile,03,decile 3,3,14092115.0000,25467950,780,704,90.26,545698,40381,7.400,0.9000,324021,25564,7.890,221677,14817,6.684,40.6,72111,4056,5.625,473587,36325,7.670,13.2
assets_decile,04,decile 4,4,44792000.0000,75441105.5,786,698,88.80,574760,38422,6.685,0.8000,337904,24165,7.151,236856,14257,6.019,41.2,88263,4397,4.982,486497,34025,6.994,15.4
assets_decile,05,decile 5,5,134673000.0000,216234500,775,646,83.35,574156,31137,5.423,0.6485,329451,19587,5.945,244705,11550,4.720,42.6,89844,4049,4.507,484312,27088,5.593,15.6
assets_decile,06,decile 6,6,326555000.0000,502065000,786,716,91.09,815861,34164,4.187,0.3378,434466,20196,4.648,381395,13968,3.662,46.7,135958,5641,4.149,679903,28523,4.195,16.7
assets_decile,07,decile 7,7,787248000.0000,1236939500,806,759,94.17,1014777,35518,3.500,0.2501,515005,20050,3.893,499772,15468,3.095,49.2,231682,8549,3.690,783095,26969,3.444,22.8
assets_decile,08,decile 8,8,1868133000.0000,2759072500,803,757,94.27,1253534,43922,3.504,0.2234,577572,22907,3.966,675962,21015,3.109,53.9,337939,11463,3.392,915595,32459,3.545,27.0
assets_decile,09,decile 9,9,4426055000.0000,7146945000,805,775,96.27,1300749,44056,3.387,0.1662,619628,22779,3.676,681121,21277,3.124,52.4,467659,13050,2.790,833090,31006,3.722,36.0
assets_decile,10,decile 10 (largest),10,13305800000.0000,33382990500,811,796,98.15,1638956,68655,4.189,0.1304,681872,30861,4.526,957084,37794,3.949,58.4,681422,30866,4.530,957534,37789,3.946,41.6
assets_decile,unclassified,no consolidated USD assets reported,99,,,412,367,89.08,328141,26544,8.089,0.7914,130407,10779,8.266,197734,15765,7.973,60.3,112366,13541,12.051,215775,13003,6.026,34.2
filer_status,1-LAF,large accelerated filer,1,,,2720,2536,93.24,3803221,154480,4.062,0.1619,1850450,76221,4.119,1952771,78259,4.008,51.3,1065155,46228,4.340,2738066,108252,3.954,28.0
filer_status,2-ACC,accelerated filer,2,,,1327,1175,88.55,1133650,55746,4.917,0.3255,633764,31833,5.023,499886,23913,4.784,44.1,361603,15545,4.299,772047,40201,5.207,31.9
filer_status,4-NON,non-accelerated filer,4,,,4896,4301,87.85,3867311,210179,5.435,0.8508,1942034,127042,6.542,1925277,83137,4.318,49.8,862784,36569,4.238,3004527,173610,5.778,22.3
filer_status,unknown,filer status not reported,99,,,208,181,87.02,114290,6301,5.513,0.1105,47321,2808,5.934,66969,3493,5.216,58.6,34245,2949,8.611,80045,3352,4.188,30.0
