statement_code,statement_name,tag,aggregation_level,rank_within_statement,restatements,revisable_groups,restating_companies,distinct_tags,pct_of_revisable_restated,pct_restatements_downward,median_abs_pct_revision,includes_custom_tag,placement_is_ambiguous
ALL,All statements,,grand_total,,426706,8918472,7544,115745,4.785,57.76,0.4242,t,t
IS,income statement,,statement,,162517,2230383,5611,11771,7.287,60.80,0.2628,t,t
CF,cash flow,,statement,,91851,2125699,5978,52252,4.321,53.09,0.3942,t,t
BS,balance sheet,,statement,,78290,1834082,6138,17350,4.269,54.89,0.3136,t,t
EQ,equity,,statement,,74623,1761520,4967,29922,4.236,61.22,0.9425,t,t
CI,comprehensive income,,statement,,10787,297991,1486,2057,3.620,52.22,0.4438,t,t
SI,supplementary information,,statement,,7604,634181,200,895,1.199,53.76,0.8431,t,t
UN,unclassified,,statement,,1034,34616,150,1498,2.987,48.84,0.7500,t,t
IS,income statement,RevenueFromContractWithCustomerExcludingAssessedTax,tag,1,19898,306478,1206,1,6.492,60.50,0.1223,f,f
EQ,equity,StockholdersEquity,tag,1,15065,347704,2051,1,4.333,61.60,0.6429,t,f
IS,income statement,Revenues,tag,2,9603,132359,801,1,7.255,58.79,0.1431,f,f
IS,income statement,OperatingIncomeLoss,tag,3,9597,96998,1479,1,9.894,51.22,0.1762,t,f
CF,cash flow,NetIncomeLoss,tag,1,8912,178968,1417,1,4.980,59.37,0.2294,t,t
IS,income statement,EarningsPerShareBasic,tag,4,8086,77166,1700,1,10.479,75.45,3.0000,f,f
IS,income statement,EarningsPerShareDiluted,tag,5,7741,73391,1718,1,10.548,74.37,2.0000,f,f
IS,income statement,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,tag,6,6539,71559,1091,1,9.138,52.19,0.1847,f,f
EQ,equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,tag,2,6324,211472,763,1,2.990,60.03,0.0968,f,f
IS,income statement,WeightedAverageNumberOfSharesOutstandingBasic,tag,7,6317,67464,1340,1,9.364,74.70,0.9500,t,f
IS,income statement,WeightedAverageNumberOfDilutedSharesOutstanding,tag,8,5947,63336,1383,1,9.390,72.79,0.9500,t,f
EQ,equity,SharesOutstanding,tag,3,5844,60079,1048,1,9.727,79.48,0.9546,f,f
CF,cash flow,ProfitLoss,tag,2,5252,99402,974,1,5.284,56.40,0.2066,f,t
